,popularity
153936,58
207480,50
134065,29
33009,19
78219,62
100466,48
154129,50
29090,29
201301,38
43603,55
132285,33
219383,23
216987,38
182978,27
74800,0
129806,20
188427,19
15306,65
139699,70
194488,4
75910,0
102648,52
53531,29
29645,25
3733,42
30620,28
181500,42
178906,44
214881,48
144420,46
181636,27
172097,18
142092,45
204603,34
138278,38
58649,24
7450,36
60352,52
173583,16
37704,40
37166,45
102717,52
114721,67
183345,26
93885,62
42148,64
14704,69
107718,5
137942,31
221671,25
1925,60
138916,96
128265,28
33529,17
72366,15
52323,25
160,70
149943,57
216430,0
188657,24
135551,29
58570,26
3514,50
198081,48
23518,46
213892,52
21532,46
83314,57
693,44
174478,13
88779,61
177217,37
64631,44
158186,25
196852,40
214527,20
145687,56
218248,28
110219,69
66463,46
232573,39
43491,51
28141,40
217338,34
206716,21
201656,34
48180,34
164498,22
109849,73
196828,39
40282,40
157859,44
144971,45
204478,31
214592,50
4154,40
116113,59
183096,24
37816,30
150323,64
86071,45
187193,25
58424,28
219344,28
36945,33
33864,18
100239,47
56744,57
115026,67
96615,57
57263,55
16326,66
225797,52
143576,53
3389,56
227435,51
203956,25
177529,37
133671,36
227242,50
189756,24
20269,55
219614,33
213974,52
133243,31
42512,54
73734,0
173834,15
112505,68
185177,25
122491,56
85890,53
64974,41
53981,66
140259,51
112376,65
156232,53
178511,38
221020,21
9983,49
204413,30
37047,43
181594,40
80837,9
136007,29
100720,46
165955,20
75702,0
106342,6
218117,28
130298,30
225835,63
194131,8
107941,89
6297,54
211255,12
87233,81
58295,30
11475,50
129416,30
18715,49
157498,55
30358,27
214711,60
88291,55
126268,33
131922,43
27364,39
54248,0
180113,33
13998,68
92447,46
91924,49
160951,44
122582,51
200216,38
82065,9
88833,53
80043,23
36556,34
88273,57
229320,45
103159,50
211806,10
60233,54
78187,62
83787,49
163640,35
88748,54
30773,23
106286,5
19625,53
94529,62
123781,44
125595,33
180396,35
173559,15
112138,66
221167,26
225622,52
725,44
104685,21
226242,63
215543,47
122971,43
221851,68
38023,35
59612,64
117885,58
65350,41
133598,36
187600,33
229405,39
65960,42
19705,51
132025,36
20425,24
70858,59
204447,28
90686,49
77803,69
27477,47
221101,35
49417,32
85999,45
134061,48
203547,34
76916,0
225945,55
199217,40
215876,45
152281,79
107025,4
36488,31
22119,50
192554,63
92356,46
150100,62
219347,27
225093,60
102654,51
147478,47
101706,46
189081,24
147840,39
84583,41
28011,37
68015,68
196844,0
215207,47
97265,58
220239,38
68880,60
31647,28
30114,28
1194,66
186492,26
155489,64
183313,21
46510,47
47813,45
86323,42
20702,50
214303,50
101067,48
47542,37
103869,51
158699,49
87645,68
92290,51
186944,28
232408,34
62965,42
221384,26
112687,61
32250,29
205889,30
128947,37
191002,15
5762,54
65254,40
162715,29
147486,45
132072,43
187973,28
206406,27
136456,43
204315,31
114969,66
53334,27
79367,14
165919,31
138842,25
201831,2
137575,29
154901,57
53972,64
187145,21
124432,40
196413,0
70401,59
117970,66
109463,68
195525,0
213241,59
88867,56
19495,57
176725,36
218021,27
143444,53
79607,22
196578,36
111782,69
200328,38
145416,55
168081,34
49221,39
32855,19
83701,48
123995,0
213675,54
146979,45
436,0
154480,53
197634,55
6716,50
92461,47
43356,55
48290,40
125424,38
32978,39
21794,57
154013,53
176642,45
25605,32
3604,56
215738,44
218481,34
77195,73
56376,1
226241,52
232567,34
199387,40
23717,43
84291,46
32998,16
205881,20
52270,27
84871,40
111716,71
24875,45
159486,42
77220,74
46908,41
61728,47
129006,28
133322,32
14749,72
197051,36
181322,35
65277,47
80418,11
192558,57
19563,52
16968,58
135883,26
49025,40
107233,10
132391,36
10430,51
198884,37
203889,23
65488,37
43083,49
127291,34
61765,49
104356,31
231843,50
180016,36
188908,21
70217,58
136829,25
151834,62
167606,38
108024,85
56287,4
73013,7
25594,50
29561,36
97827,58
211304,12
198746,43
107471,3
14824,61
23217,51
173706,14
85016,43
150564,61
37026,31
229940,44
206723,27
148812,42
155463,53
126461,29
187614,39
45932,57
19863,50
226156,61
96870,56
131896,36
26081,43
153300,50
126119,0
135126,26
200982,37
9523,47
29637,29
4844,58
48138,37
186690,26
37566,36
20650,60
216334,43
160891,37
215536,48
232122,41
170078,23
138559,26
83088,6
77035,0
207126,30
73579,0
47783,39
196735,39
150619,61
73176,3
72240,17
9775,48
75623,1
14232,68
144567,45
74809,0
51817,30
31767,24
39270,32
168801,29
165164,25
114688,67
25442,39
183933,16
228226,50
126372,32
100301,54
53374,28
182966,23
25021,45
4323,46
193703,53
95728,55
114631,69
137954,35
138074,34
30023,25
56860,54
3078,54
155707,48
55729,0
183825,13
206788,27
164496,20
62662,48
101374,56
228534,51
172301,18
89448,54
96160,54
80737,16
63484,40
221199,26
160149,40
122647,72
59064,13
2805,55
187771,23
120627,50
12333,44
213358,56
125112,35
106608,5
139487,65
181170,39
101498,56
186844,22
64845,41
132036,41
223830,58
9556,48
40188,32
31444,34
145388,43
228784,47
20486,56
173479,16
103882,49
14429,68
176565,46
892,44
186595,38
124579,46
135337,25
90014,52
46923,42
